Company,Region,URL
JNE,DIY Yogyakarta,"https://www.google.com/maps/place/JNE+Gudang+Gambiran/@-7.8171471,110.3907137,17z/data=!4m8!3m7!1s0x2e7a57129c46273f:0x78be45431d436299!8m2!3d-7.8171471!4d110.3907137!9m1!1b1!16s%2Fg%2F11b8_ptrjy?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Jawa Timur,"https://www.google.com/maps/place/JNE+Surabaya/@-7.37905,112.738332,17z/data=!4m8!3m7!1s0x2dd7e48d461e8b39:0x75ea0caab3c0d1d5!8m2!3d-7.37905!4d112.738332!9m1!1b1!16s%2Fg%2F11c20q5z1n?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Bali,"https://www.google.com/maps/place/JNE+LOGISTIK+FSL+DPS/@-8.6401983,115.1973265,17z/data=!4m8!3m7!1s0x2dd23f4e37333d49:0xc24a6c14fa81da47!8m2!3d-8.6401983!4d115.1973265!9m1!1b1!16s%2Fg%2F11ckvwdw0s?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,NTT,"https://www.google.com/maps/place/JNE+Ruteng+Jl+Slamet+Riadi+no+20+kel.+Watu/@-8.6133069,120.4664698,17z/data=!4m8!3m7!1s0x2db3751e88d6b69b:0x5700304ba14ef063!8m2!3d-8.6133069!4d120.4664698!9m1!1b1!16s%2Fg%2F11mvy4mykt?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,NTB,"https://www.google.com/maps/place/Main+Branch+JNE+Mataram/@-8.5894337,116.0949934,14z/data=!4m8!3m7!1s0x2dcdbf60477ebc7f:0x26aa6095d95a99ba!8m2!3d-8.5899535!4d116.1136775!9m1!1b1!16s%2Fg%2F1pzq_tlnk?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Kalimantan Barat,"https://www.google.com/maps/place/JNE+Pontianak+Main+Branch+Office+(Kalimantan+Barat+Main+Office)/@-0.0235881,109.3185754,17z/data=!4m8!3m7!1s0x2e1d58faaec6dbb7:0xa8651c396e18ea18!8m2!3d-0.0235881!4d109.3185754!9m1!1b1!16s%2Fg%2F1pzpn97kb?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Kalimantan Timur,"https://www.google.com/maps/place/JNE+Cabang+Utama+Samarinda/@-0.4673929,117.138627,17z/data=!4m8!3m7!1s0x2df678cd5a4a2541:0x8e6235c08c7ba540!8m2!3d-0.4673929!4d117.138627!9m1!1b1!16s%2Fg%2F11b7k23yzp?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Kalimantan Selatan,"https://www.google.com/maps/place/JNE+Main+Office+Banjarmasin/@-3.3292367,114.6165258,17z/data=!4m8!3m7!1s0x2de423ffcb13adb1:0x79eb06f9c3589009!8m2!3d-3.3292367!4d114.6165258!9m1!1b1!16s%2Fg%2F11clyt2vnw?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Kalimantan Tengah,"https://www.google.com/maps/place/JNE+Pangkalan+Bun/@-3.3835938,110.8163037,9.25z/data=!4m8!3m7!1s0x2e088f0000000001:0x2ef8baaab393e0b3!8m2!3d-2.6691531!4d111.641375!9m1!1b1!16s%2Fg%2F1ygbbfxtz?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Kalimantan Utara,"https://www.google.com/maps/place/JNE+Kantor+Cabang+Tarakan+Kaltara/@3.3105089,117.5967094,17z/data=!4m8!3m7!1s0x32138a65aaaaaaab:0xc65d9b0b982a5833!8m2!3d3.3105089!4d117.5967094!9m1!1b1!16s%2Fg%2F1ygbb7qn6?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
